2007-10-28,3027 X,3027 Y,3028 X,3028 Y,3029 X,3029 Y,3030 X,3030 Y,3031 X,3031 Y,3032 X,3032 Y,3033 X,3033 Y,3034 X,3034 Y,3035 X,3035 Y,3036 X,3036 Y,3037 X,3037 Y,3039 X,3039 Y,3040 X,3040 Y
7:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:45,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-
8:46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-1.1095744E27,-,-,-,-,-,-,-,-,-,-,-,-
8:47,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-
8:48,-,-,-,-,-,-,-,-,-,-,-,-,42.39283,-72.531555,-,-,-,-,-,-,-,-,-,-,-,-
8:49,-,-,-,-,-,-,-,-,-,-,-,-,42.39386,-72.53238,-,-,-,-,-,-,-,-,-,-,-,-
8:50,-,-,-,-,-,-,-,-,-,-,-,-,42.393,-72.532906,-,-,-,-,-,-,-,-,-,-,-,-
8:51,-,-,-,-,-,-,-,-,-,-,-,-,42.393867,-72.53278,-,-,-,-,-,-,-,-,-,-,-,-
8:52,-,-,-,-,-,-,-,-,-,-,-,-,42.393826,-72.532715,-,-,-,-,-,-,-,-,-,-,-,-
8:53,-,-,-,-,-,-,-,-,-,-,-,-,42.392647,-72.53388,-,-,-,-,-,-,-,-,-,-,-,-
8:54,-,-,-,-,-,-,-,-,-,-,-,-,42.38861,-72.53213,-,-,-,-,-,-,-,-,-,-,-,-
8:55,-,-,-,-,-,-,-,-,-,-,-,-,42.385017,-72.530266,-,-,-,-,-,-,-,-,-,-,-,-
8:56,-,-,-,-,-,-,-,-,-,-,-,-,42.38676,-72.525604,-,-,-,-,-,-,-,-,-,-,-,-
8:57,-,-,-,-,-,-,-,-,-,-,-,-,42.3863,-72.52615,-,-,-,-,-,-,-,-,-,-,-,-
8:58,-,-,-,-,-,-,-,-,-,-,-,-,42.385925,-72.52273,-,-,-,-,-,-,-,-,-,-,-,-
8:59,-,-,-,-,-,-,-,-,-,-,-,-,42.38078,-72.51933,-,-,-,-,-,-,-,-,-,-,-,-
9:0,-,-,-,-,-,-,-,-,-,-,-,-,42.377052,-72.51991,-,-,-,-,-,-,-,-,-,-,-,-
9:1,-,-,-,-,-,-,-,-,-,-,-,-,42.37442,-72.519806,-,-,-,-,-,-,-,-,-,-,-,-
9:2,-,-,-,-,-,-,-,-,-,-,-,-,42.37268,-72.51881,-,-,-,-,-,-,-,-,-,-,-,-
9:3,-,-,-,-,-,-,-,-,-,-,-,-,42.373203,-72.51963,-,-,-,-,-,-,-,-,-,-,-,-
9:4,-,-,-,-,-,-,-,-,-,-,-,-,42.36467,-72.5206,-,-,-,-,-,-,-,-,-,-,-,-
9:5,-,-,-,-,-,-,-,-,-,-,-,-,42.355156,-72.52082,-,-,-,-,-,-,-,-,-,-,-,-
9:6,-,-,-,-,-,-,-,-,-,-,-,-,42.350433,-72.519966,-,-,-,-,-,-,-,-,-,-,-,-
9:7,-,-,-,-,-,-,-,-,-,-,-,-,42.343876,-72.52039,-,-,-,-,-,-,-,-,-,-,-,-
9:8,-,-,-,-,-,-,-,-,-,-,-,-,42.334915,-72.523224,-,-,-,-,-,-,-,-,-,-,-,-
9:9,-,-,-,-,-,-,-,-,-,-,-,-,42.324276,-72.52466,-,-,-,-,-,-,-,-,-,-,-,-
9:10,-,-,-,-,-,-,-,-,-,-,-,-,42.325134,-72.52841,-,-,-,-,-,-,-,-,-,-,-,-
9:11,-,-,-,-,-,-,-,-,-,-,-,-,42.32523,-72.53117,-,-,-,-,-,-,-,-,-,-,-,-
9:12,-,-,-,-,-,-,-,-,-,-,-,-,42.323185,-72.52836,-,-,-,-,-,-,-,-,-,-,-,-
9:13,-,-,-,-,-,-,-,-,-,-,-,-,42.32177,-72.534195,-,-,-,-,-,-,-,-,-,-,-,-
9:14,-,-,-,-,-,-,-,-,-,-,-,-,42.320274,-72.53415,-,-,-,-,-,-,-,-,-,-,-,-
9:15,-,-,-,-,-,-,-,-,-,-,-,-,42.31892,-72.528305,-,-,-,-,-,-,-,-,-,-,-,-
9:16,-,-,-,-,-,-,-,-,-,-,-,-,42.309338,-72.529396,-,-,-,-,-,-,-,-,-,-,-,-
9:17,-,-,-,-,-,-,-,-,-,-,-,-,42.30404,-72.52791,-,-,-,-,-,-,-,-,-,-,-,-
9:18,-,-,-,-,-,-,-,-,-,-,-,-,42.29371,-72.53137,-,-,-,-,-,-,-,-,-,-,-,-
9:19,-,-,-,-,-,-,-,-,-,-,-,-,42.286705,-72.540825,-,-,-,-,-,-,-,-,-,-,-,-
9:20,-,-,-,-,-,-,-,-,-,-,-,-,42.282944,-72.552284,-,-,-,-,-,-,-,-,-,-,-,-
9:21,-,-,-,-,-,-,-,-,-,-,-,-,42.280163,-72.55906,-,-,-,-,-,-,-,-,-,-,-,-
9:22,-,-,-,-,-,-,-,-,-,-,-,-,42.27213,-72.56551,-,-,-,-,-,-,-,-,-,-,-,-
9:23,-,-,-,-,-,-,-,-,-,-,-,-,42.265488,-72.57184,-,-,-,-,-,-,-,-,-,-,-,-
9:24,-,-,-,-,-,-,-,-,-,-,-,-,42.259254,-72.57471,-,-,-,-,-,-,-,-,-,-,-,-
9:25,-,-,-,-,-,-,-,-,-,-,-,-,42.258236,-72.573814,-,-,-,-,-,-,-,-,-,-,-,-
9:26,-,-,-,-,-,-,-,-,-,-,-,-,42.25719,-72.572014,-,-,-,-,-,-,-,-,-,-,-,-
9:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9:36,-,-,-,-,-,-,-,-,-,-,-,-,42.25396,-72.574425,-,-,-,-,-,-,-,-,-,-,-,-
9:37,-,-,-,-,-,-,-,-,-,-,-,-,42.25736,-72.57608,-,-,-,-,-,-,-,-,-,-,-,-
9:38,-,-,-,-,-,-,-,-,-,-,-,-,42.257637,-72.57591,-,-,-,-,-,-,-,-,-,-,-,-
9:39,-,-,-,-,-,-,-,-,-,-,-,-,42.25836,-72.57559,-,-,-,-,-,-,-,-,-,-,-,-
9:40,-,-,-,-,-,-,-,-,-,-,-,-,42.261597,-72.572716,-,-,-,-,-,-,-,-,-,-,-,-
9:41,-,-,-,-,-,-,-,-,-,-,-,-,42.26692,-72.567665,-,-,-,-,-,-,-,-,-,-,-,-
9:42,-,-,-,-,-,-,-,-,-,-,-,-,42.275806,-72.564766,-,-,-,-,-,-,-,-,-,-,-,-
9:43,-,-,-,-,-,-,-,-,-,-,-,-,42.281975,-72.55467,-,-,-,-,-,-,-,-,-,-,-,-
9:44,-,-,-,-,-,-,-,-,-,-,-,-,42.28628,-72.54182,-,-,-,-,-,-,-,-,-,-,-,-
9:45,-,-,-,-,-,-,-,-,-,-,-,-,42.293816,-72.53133,-,-,-,-,-,-,-,-,-,-,-,-
9:46,-,-,-,-,-,-,-,-,-,-,-,-,42.302437,-72.52764,-,-,-,-,-,-,-,-,-,-,-,-
9:47,-,-,-,-,-,-,-,-,-,-,-,-,42.310875,-72.53014,-,-,-,-,-,-,-,-,-,-,-,-
9:48,-,-,-,-,-,-,-,-,-,-,-,-,42.31923,-72.52795,-,-,-,-,-,-,-,-,-,-,-,-
9:49,-,-,-,-,-,-,-,-,-,-,-,-,42.32084,-72.53423,-,-,-,-,-,-,-,-,-,-,-,-
9:50,-,-,-,-,-,-,-,-,-,-,-,-,42.321545,-72.534256,-,-,-,-,-,-,-,-,-,-,-,-
9:51,-,-,-,-,-,-,-,-,-,-,-,-,42.322876,-72.5285,-,-,-,-,-,-,-,-,-,-,-,-
9:52,-,-,-,-,-,-,-,-,-,-,-,-,42.325302,-72.53093,-,-,-,-,-,-,-,-,-,-,-,-
9:53,-,-,-,-,-,-,-,-,-,-,-,-,42.325104,-72.52931,-,-,-,-,-,-,-,-,-,-,-,-
9:54,-,-,-,-,-,-,-,-,-,-,-,-,42.323708,-72.52472,-,-,-,-,-,-,-,-,-,-,-,-
9:55,-,-,-,-,-,-,-,-,-,-,-,-,42.335236,-72.52316,-,-,-,-,-,-,-,-,-,-,-,-
9:56,-,-,-,-,-,-,-,-,-,-,-,-,42.344093,-72.52039,-,-,-,-,-,-,-,-,-,-,-,-
9:57,-,-,-,-,-,-,-,-,-,-,-,-,42.353535,-72.520584,-,-,-,-,-,-,-,-,-,-,-,-
9:58,-,-,-,-,-,-,-,-,-,-,-,-,42.357384,-72.52095,-,-,-,-,-,-,-,-,-,-,-,-
9:59,-,-,-,-,-,-,-,-,-,-,-,-,42.36316,-72.52076,-,-,-,-,-,-,-,-,-,-,-,-
10:0,-,-,-,-,-,-,-,-,-,-,-,-,42.372295,-72.51958,-,-,-,-,-,-,-,-,-,-,-,-
10:1,-,-,-,-,-,-,-,-,-,-,-,-,42.373184,-72.518845,-,-,-,-,-,-,-,-,-,-,-,-
10:2,-,-,-,-,-,-,-,-,-,-,-,-,42.373295,-72.51928,-,-,-,-,-,-,-,-,-,-,-,-
10:3,-,-,-,-,-,-,-,-,-,-,-,-,42.37469,-72.51973,-,-,-,-,-,-,-,-,-,-,-,-
10:4,-,-,-,-,-,-,-,-,-,-,-,-,42.376617,-72.51995,-,-,-,-,-,-,-,-,-,-,-,-
10:5,-,-,-,-,-,-,-,-,-,-,-,-,42.37825,-72.519966,-,-,-,-,-,-,-,-,-,-,-,-
10:6,-,-,-,-,-,-,-,-,-,-,-,-,42.382393,-72.5201,-,-,-,-,-,-,-,-,-,-,-,-
10:7,-,-,-,-,-,-,-,-,-,-,-,-,42.386116,-72.523125,-,-,-,-,-,-,-,-,-,-,-,-
10:8,-,-,-,-,-,-,-,-,-,-,-,-,42.387043,-72.526474,-,-,-,-,-,-,-,-,-,-,-,-
10:9,-,-,-,-,-,-,-,-,-,-,-,-,42.386993,-72.52656,-,-,-,-,-,-,-,-,-,-,-,-
10:10,-,-,-,-,-,-,-,-,-,-,-,-,42.38698,-72.52656,-,-,-,-,-,-,-,-,-,-,-,-
10:11,-,-,-,-,-,-,-,-,-,-,-,-,42.38588,-72.52592,-,-,-,-,-,-,-,-,-,-,-,-
10:12,-,-,-,-,-,-,-,-,-,-,-,-,42.384872,-72.521515,-,-,-,-,-,-,-,-,-,-,-,-
10:13,-,-,-,-,-,-,-,-,-,-,-,-,42.380516,-72.51936,-,-,-,-,-,-,-,-,-,-,-,-
10:14,-,-,-,-,-,-,-,-,-,-,-,-,42.377697,-72.51989,-,-,-,-,-,-,-,-,-,-,-,-
10:15,-,-,-,-,-,-,-,-,-,-,-,-,42.375923,-72.51998,-,-,-,-,-,-,-,-,-,-,-,-
10:16,-,-,-,-,-,-,-,-,-,-,-,-,42.37341,-72.51985,-,-,-,-,-,-,-,-,-,-,-,-
10:17,-,-,-,-,-,-,-,-,-,-,-,-,42.372135,-72.51932,-,-,-,-,-,-,-,-,-,-,-,-
10:18,-,-,-,-,-,-,-,-,-,-,-,-,42.37309,-72.51883,-,-,-,-,-,-,-,-,-,-,-,-
10:19,-,-,-,-,-,-,-,-,-,-,-,-,42.37313,-72.51885,-,-,-,-,-,-,-,-,-,-,-,-
10:20,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,42.373184,-72.51885,-,-,-,-,-,-,-,-,-,-,-,-
10:21,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,42.369183,-72.51996,-,-,-,-,-,-,-,-,-,-,-,-
10:22,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,42.36326,-72.520805,-,-,-,-,-,-,-,-,-,-,-,-
